,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
7701,H,0.9881734559789751,0.9939413265306122,0.5131073051380636,0.5315934065934067,0.1541501976284585,0
6014,H,0.9881734559789751,0.9910714285714285,0.5655365256903181,0.4505494505494505,0.15810276679841898,0
1846,H,0.9779894875164258,0.9799107142857143,0.5291855994407549,0.5302197802197802,0.07509881422924901,0
2114,H,0.9835742444152431,0.9856505102040817,0.4799021321216358,0.6057692307692308,0.3201581027667984,0
8831,H,0.9770039421813403,0.9843749999999999,0.6032855644879412,0.36813186813186816,0.6245059288537549,0
2569,H,0.9839027595269383,0.9859693877551019,0.6543166724921357,0.31043956043956045,0.6403162055335968,0
3599,H,0.9911300919842313,0.9901147959183673,0.4851450541768612,0.6936813186813187,0.6956521739130435,0
2628,H,0.9852168199737188,0.9872448979591837,0.4928346731911919,0.7032967032967034,0.38735177865612647,0
3783,H,0.992772667542707,0.9910714285714285,0.48829080740999653,0.6538461538461539,0.043478260869565216,0
9013,H,0.9763469119579501,0.9821428571428571,0.5015728766165677,0.5906593406593407,0.7984189723320159,0
7278,H,0.985545335085414,0.9888392857142857,0.5990912268437609,0.3942307692307692,0.21739130434782608,0
8094,H,0.9862023653088042,0.9936224489795918,0.5809157637189793,0.39560439560439564,0.6403162055335968,0
838,H,0.9743758212877793,0.9802295918367345,0.4914365606431318,0.570054945054945,0.7470355731225297,0
2150,H,0.983245729303548,0.9846938775510203,0.5718280321565886,0.4876373626373627,0.7114624505928854,0
7481,H,0.9862023653088042,0.9929846938775508,0.5263893743446347,0.4958791208791209,0.5573122529644269,0
669,H,0.9773324572930355,0.9850127551020407,0.5141558895491087,0.5178571428571429,0.7786561264822134,0
9135,H,0.9779894875164258,0.9846938775510203,0.49073750436910174,0.6909340659340659,0.383399209486166,0
1806,H,0.9789750328515112,0.9808673469387755,0.5567983222649423,0.44230769230769235,0.466403162055336,0
2307,H,0.9822601839684626,0.9837372448979591,0.5672841663753933,0.4601648351648352,0.6086956521739131,0
1293,H,0.9812746386333772,0.9878826530612245,0.552953512757777,0.45879120879120877,0.4782608695652174,0
4897,H,0.9980289093298292,0.9964923469387754,0.5330304089479203,0.521978021978022,0.8260869565217391,0
5197,H,0.9980289093298292,0.997767857142857,0.5487591751135966,0.49175824175824173,0.5810276679841897,0
3139,H,0.9868593955321945,0.9882015306122448,0.52883607130374,0.5315934065934067,0.30039525691699603,0
9628,H,0.9822601839684626,0.9885204081632653,0.5484096469765816,0.47115384615384615,0.5217391304347826,0
2954,H,0.987516425755585,0.9866071428571427,0.5910520796924152,0.38461538461538464,0.1422924901185771,0
2712,H,0.9845597897503285,0.9859693877551019,0.4550856343935687,0.7623626373626374,0.3438735177865613,0
3698,H,0.992772667542707,0.9926658163265306,0.6144704648724222,0.3626373626373626,0.015810276679841896,0
9370,H,0.9779894875164258,0.9834183673469387,0.4956308982873121,0.7129120879120879,0.30434782608695654,0
5703,H,0.9931011826544022,0.9939413265306122,0.5089129674938833,0.6236263736263736,0.5138339920948617,0
8875,H,0.9793035479632064,0.9862882653061225,0.4655714785040196,0.7005494505494506,0.2845849802371542,0
5122,H,0.9993429697766097,0.9996811224489796,0.58860538273331,0.4093406593406594,0.616600790513834,0
7296,H,0.985545335085414,0.9897959183673468,0.6574624257252709,0.3008241758241758,0.4031620553359684,0
564,H,0.9776609724047307,0.9872448979591837,0.5833624606780846,0.440934065934066,0.6126482213438735,0
6829,H,0.9885019710906702,0.9913903061224488,0.5152044739601538,0.4903846153846154,0.691699604743083,0
5545,H,0.992772667542707,0.9936224489795918,0.4743096819293953,0.6071428571428572,0.5612648221343873,0
7626,H,0.9871879106438897,0.9936224489795918,0.47221251310730517,0.7348901098901099,0.308300395256917,0
3673,H,0.9931011826544022,0.9939413265306122,0.506466270534778,0.6112637362637363,0.6007905138339921,0
507,H,0.978318002628121,0.9866071428571427,0.5050681579867179,0.6620879120879122,0.039525691699604744,0
192,H,0.9796320630749015,0.9834183673469387,0.48864033554701153,0.7115384615384616,0.30039525691699603,0
270,H,0.9789750328515112,0.9821428571428571,0.5312827682628452,0.543956043956044,0.2015810276679842,0
9633,H,0.9825886990801579,0.9888392857142857,0.4966794826983572,0.565934065934066,0.5889328063241107,0
4252,H,0.9940867279894877,0.9917091836734693,0.5026214610276127,0.7005494505494506,0.4189723320158103,0
80,H,0.9816031537450723,0.9846938775510203,0.5050681579867179,0.6854395604395604,0.015810276679841896,0
6535,H,0.9894875164257556,0.9901147959183673,0.5260398462076197,0.598901098901099,0.308300395256917,0
8256,H,0.9822601839684626,0.9901147959183673,0.4669695910520797,0.7802197802197802,0.5375494071146245,0
4788,H,0.9977003942181341,0.9968112244897959,0.5291855994407549,0.4876373626373627,0.5454545454545454,0
4402,H,0.9931011826544022,0.989158163265306,0.5263893743446347,0.46428571428571425,0.16996047430830039,0
1748,H,0.9802890932982917,0.9811862244897959,0.5683327507864383,0.42719780219780223,0.6561264822134387,0
4916,H,0.9967148488830486,0.9958545918367346,0.6183152743795876,0.3832417582417582,0.15810276679841898,0
9250,H,0.9799605781865967,0.9853316326530611,0.6371897937783991,0.3557692307692308,0.7154150197628458,0
925,H,0.971090670170828,0.9760841836734694,0.5672841663753933,0.42445054945054944,0.8300395256916996,0
1900,H,0.978646517739816,0.9808673469387755,0.5218455085634394,0.4945054945054945,0.6363636363636364,0
4115,H,0.9921156373193167,0.9904336734693877,0.47046487242223,0.7513736263736265,0.7747035573122529,0
1495,H,0.978646517739816,0.9837372448979591,0.4833974134917861,0.6126373626373627,0.7272727272727273,0
9116,H,0.9776609724047307,0.9843749999999999,0.5798671793079343,0.440934065934066,0.19367588932806323,0
5157,H,0.9990144546649148,0.9990433673469388,0.48829080740999653,0.6813186813186813,0.13438735177865613,0
4491,H,0.9940867279894877,0.9897959183673468,0.49248514505417684,0.7321428571428571,0.20553359683794467,0
9408,H,0.978646517739816,0.9834183673469387,0.5721775602936037,0.47390109890109894,0.7549407114624506,0
329,H,0.9779894875164258,0.9837372448979591,0.6011883956658511,0.4107142857142857,0.8300395256916996,0
7142,H,0.9865308804204994,0.987563775510204,0.5075148549458232,0.570054945054945,0.549407114624506,0
9574,H,0.9845597897503285,0.9910714285714285,0.4956308982873121,0.6401098901098902,0.7786561264822134,0
3377,H,0.990473061760841,0.9910714285714285,0.5560992659909123,0.40659340659340665,0.13043478260869565,0
592,H,0.9773324572930355,0.9869260204081632,0.5830129325410696,0.3832417582417582,0.9486166007905138,0
2537,H,0.9819316688567674,0.9843749999999999,0.4729115693813352,0.6607142857142858,0.31225296442687744,0
594,H,0.9776609724047307,0.9872448979591837,0.44669695910520796,0.6923076923076923,0.007905138339920948,0
9258,H,0.9799605781865967,0.9853316326530611,0.48199930094372595,0.5934065934065935,0.0,0
7467,H,0.9865308804204994,0.9936224489795918,0.5113596644529884,0.5714285714285715,0.4031620553359684,0
8283,H,0.9819316688567674,0.9904336734693877,0.5644879412792729,0.4532967032967033,0.8735177865612648,0
2750,H,0.9845597897503285,0.9859693877551019,0.5089129674938833,0.5576923076923077,0.7193675889328063,0
6218,H,0.9888304862023654,0.9904336734693877,0.4774554351625306,0.6950549450549451,0.4189723320158103,0
5979,H,0.987516425755585,0.990752551020408,0.5246417336595596,0.6222527472527473,0.691699604743083,0
8277,H,0.9816031537450723,0.9901147959183673,0.45228940929744843,0.7664835164835164,0.7984189723320159,0
8130,H,0.985545335085414,0.9923469387755101,0.48689269486193637,0.592032967032967,0.17786561264822134,0
4141,H,0.9911300919842313,0.9888392857142857,0.5110101363159735,0.5260989010989011,0.19367588932806323,0
7720,H,0.9871879106438897,0.9936224489795918,0.5159035302341839,0.5728021978021979,0.383399209486166,0
2945,H,0.9878449408672799,0.9872448979591837,0.6728416637539322,0.2815934065934066,0.03557312252964427,0
1622,H,0.9779894875164258,0.9808673469387755,0.5375742747291157,0.5260989010989011,0.2490118577075099,0
3140,H,0.9868593955321945,0.9882015306122448,0.8958406151695212,0.17582417582417584,0.3201581027667984,1
748,H,0.9747043363994744,0.9824617346938775,0.5340789933589654,0.635989010989011,0.8023715415019763,0
584,H,0.9776609724047307,0.9872448979591837,0.49598042642432716,0.6620879120879122,0.849802371541502,0
8401,H,0.9806176084099869,0.9866071428571427,0.5840615169521146,0.4368131868131868,0.4268774703557312,0
8167,H,0.9845597897503285,0.9920280612244898,0.4729115693813352,0.646978021978022,0.5652173913043478,0
1855,H,0.9779894875164258,0.9799107142857143,0.4365606431317721,0.8626373626373627,0.1857707509881423,0
6012,H,0.9881734559789751,0.9913903061224488,0.4980775952464173,0.6043956043956045,0.13043478260869565,0
5404,H,0.9947437582128779,0.9964923469387754,0.49702901083537226,0.6332417582417583,0.015810276679841896,0
2645,H,0.9852168199737188,0.9869260204081632,0.5407200279622509,0.5288461538461539,0.5849802371541502,0
8049,H,0.987516425755585,0.994579081632653,0.5606431317721077,0.41895604395604397,0.17786561264822134,0
9060,H,0.9763469119579501,0.9830994897959183,0.5078643830828382,0.6291208791208791,0.4150197628458498,0
9722,H,0.9816031537450723,0.9878826530612245,0.6679482698357218,0.29670329670329676,0.4980237154150198,0
9498,H,0.9829172141918529,0.9888392857142857,0.5389723872771758,0.4958791208791209,0.019762845849802372,0
7582,H,0.9868593955321945,0.9923469387755101,0.5204473960153793,0.6222527472527473,0.7114624505928854,0
6879,H,0.9881734559789751,0.9923469387755101,0.7818944425026214,0.23351648351648352,0.37549407114624506,0
7021,H,0.9878449408672799,0.9904336734693877,0.5700803914715135,0.4478021978021978,0.16996047430830039,0
9892,H,0.9819316688567674,0.987563775510204,0.4917860887801468,0.6675824175824177,0.6363636363636364,0
2914,H,0.987516425755585,0.9872448979591837,0.6599091226843761,0.2815934065934066,0.525691699604743,0
734,H,0.9756898817345598,0.9834183673469387,0.45613421880461374,0.75,0.6640316205533597,0
8629,H,0.9773324572930355,0.9837372448979591,0.5442153093324013,0.5370879120879122,0.1857707509881423,0
8023,H,0.9885019710906702,0.9948979591836734,0.48829080740999653,0.5865384615384616,0.8379446640316206,0
2930,H,0.9878449408672799,0.9872448979591837,0.4903879762320867,0.7046703296703296,0.6877470355731226,0
5341,H,0.9970433639947438,0.9974489795918366,0.49073750436910174,0.7664835164835164,0.33201581027667987,0
1173,H,0.976018396846255,0.9821428571428571,0.5449143656064314,0.532967032967033,0.9051383399209486,0
8843,H,0.9766754270696453,0.9846938775510203,0.5466620062915065,0.521978021978022,0.7549407114624506,0
4641,H,0.9957293035479634,0.9926658163265306,0.5221950367004544,0.5865384615384616,0.8735177865612648,0
9131,H,0.9776609724047307,0.9840561224489796,0.5113596644529884,0.6414835164835165,0.3359683794466403,0
2356,H,0.983245729303548,0.9840561224489796,0.5235931492485145,0.5425824175824177,0.1857707509881423,0
4815,H,0.9967148488830486,0.994579081632653,0.5361761621810556,0.4560439560439561,0.8300395256916996,0
1400,H,0.9819316688567674,0.9888392857142857,0.4774554351625306,0.8612637362637363,0.6363636363636364,0
8385,H,0.9816031537450723,0.9878826530612245,0.5463124781544915,0.532967032967033,0.25691699604743085,0
4430,H,0.9931011826544022,0.9888392857142857,0.5900034952813702,0.4175824175824176,0.45454545454545453,0
1203,H,0.9756898817345598,0.9824617346938775,0.4928346731911919,0.6538461538461539,0.31225296442687744,0
6914,H,0.9885019710906702,0.9926658163265306,0.5830129325410696,0.39697802197802196,0.7233201581027668,0
7876,H,0.9878449408672799,0.9955357142857142,0.46662006291506464,0.6730769230769231,0.2450592885375494,0
8664,H,0.9773324572930355,0.9840561224489796,0.47361062565536527,0.8090659340659341,0.5454545454545454,0
4364,H,0.992444152431012,0.9888392857142857,0.5644879412792729,0.4107142857142857,0.6956521739130435,0
9978,H,0.9809461235216822,0.9830994897959183,0.4813002446696959,0.7156593406593407,0.7154150197628458,0
5296,H,0.9980289093298292,0.9987244897959182,0.48199930094372595,0.6895604395604397,0.7035573122529645,0
535,H,0.9770039421813403,0.9862882653061225,0.47710590702551553,0.7197802197802198,0.30039525691699603,0
1075,H,0.9753613666228647,0.9815051020408163,0.47011534428521495,0.7486263736263736,0.6798418972332015,0
5229,H,0.9983574244415243,0.998405612244898,0.6256553652569031,0.3667582417582418,0.06719367588932806,0
196,H,0.9799605781865967,0.9840561224489796,0.5005242922055225,0.679945054945055,0.35968379446640314,0
624,H,0.9799605781865967,0.9888392857142857,0.5274379587556798,0.5164835164835165,0.3359683794466403,0
398,H,0.9770039421813403,0.9830994897959183,0.5249912617965746,0.598901098901099,0.6679841897233202,0
2189,H,0.9845597897503285,0.9859693877551019,0.5431667249213562,0.5714285714285715,0.2450592885375494,0
3857,H,0.9934296977660972,0.9923469387755101,0.5263893743446347,0.5604395604395604,0.8063241106719368,0
9446,H,0.9793035479632064,0.9850127551020407,0.4851450541768612,0.7348901098901099,0.32806324110671936,0
9970,H,0.9802890932982917,0.9824617346938775,0.6609577070954212,0.3392857142857143,0.6245059288537549,0
9661,H,0.9822601839684626,0.9885204081632653,0.5096120237679134,0.6167582417582418,0.8735177865612648,0
1739,H,0.9806176084099869,0.9818239795918365,0.44040545263893743,0.7445054945054945,0.5573122529644269,0
5366,H,0.9957293035479634,0.9968112244897959,0.49073750436910174,0.5576923076923077,0.6007905138339921,0
3400,H,0.9901445466491459,0.990752551020408,0.5368752184550857,0.6098901098901099,0.3794466403162055,0
3084,H,0.9858738501971093,0.9866071428571427,0.4645228940929745,0.7582417582417583,0.5652173913043478,0
9555,H,0.9835742444152431,0.9910714285714285,0.5540020971688221,0.43131868131868134,0.5889328063241107,0
7830,H,0.9852168199737188,0.9923469387755101,0.5225445648374694,0.49175824175824173,0.691699604743083,0
2108,H,0.9835742444152431,0.9853316326530611,0.49458231387626705,0.7101648351648352,0.2450592885375494,0
9800,H,0.9806176084099869,0.9862882653061225,0.4966794826983572,0.6909340659340659,0.4901185770750988,0
9530,H,0.9825886990801579,0.9897959183673468,0.49108703250611674,0.7362637362637363,0.33992094861660077,0
9483,H,0.9819316688567674,0.9872448979591837,0.5403704998252359,0.4848901098901099,0.7509881422924901,0
9216,H,0.9779894875164258,0.9846938775510203,0.5134568332750786,0.6002747252747254,0.3794466403162055,0
2791,H,0.9868593955321945,0.9872448979591837,0.49493184201328205,0.5947802197802198,0.2608695652173913,0
565,H,0.9779894875164258,0.987563775510204,0.5487591751135966,0.49175824175824173,0.6324110671936759,0
3110,H,0.9852168199737188,0.9859693877551019,0.5330304089479203,0.4560439560439561,0.0,0
5206,H,0.9977003942181341,0.9968112244897959,0.5980426424327159,0.37912087912087916,0.6719367588932806,0
5983,H,0.9881734559789751,0.9910714285714285,0.5124082488640336,0.6208791208791209,0.7430830039525692,0
8269,H,0.9829172141918529,0.9910714285714285,0.6155190492834673,0.4175824175824176,0.7114624505928854,0
9470,H,0.9809461235216822,0.9866071428571427,0.5029709891646278,0.646978021978022,0.5889328063241107,0
9844,H,0.9799605781865967,0.9856505102040817,0.5186997553303041,0.5082417582417582,0.11067193675889328,0
5975,H,0.9871879106438897,0.990752551020408,0.5781195386228591,0.3928571428571429,0.6363636363636364,0
5370,H,0.9954007884362681,0.996173469387755,0.5686822789234534,0.5096153846153847,0.6640316205533597,0
7976,H,0.9894875164257556,0.996173469387755,0.4875917511359664,0.6565934065934066,0.3557312252964427,0
2867,H,0.9878449408672799,0.9872448979591837,0.4858441104508913,0.6662087912087913,0.02766798418972332,0
3000,H,0.9871879106438897,0.9878826530612245,0.4627752534078993,1.0,0.6284584980237155,1
4785,H,0.9983574244415243,0.9971301020408162,0.48968891995805663,0.6868131868131868,0.5098814229249012,0
4885,H,0.9980289093298292,0.9964923469387754,0.610975183502272,0.34478021978021983,0.691699604743083,0
2400,H,0.9829172141918529,0.9840561224489796,0.5110101363159735,0.7554945054945055,0.6442687747035574,0
954,H,0.971090670170828,0.9764030612244897,0.494232785739252,0.5837912087912088,0.2727272727272727,0
4668,H,0.9963863337713535,0.9929846938775508,0.5914016078294303,0.3832417582417582,0.21739130434782608,0
7151,H,0.9862023653088042,0.9882015306122448,0.6662006291506466,0.31456043956043955,0.6521739130434783,0
5905,H,0.9881734559789751,0.9901147959183673,0.552953512757777,0.42719780219780223,0.7628458498023716,0
2260,H,0.9825886990801579,0.9830994897959183,0.5316322963998602,0.5013736263736264,0.15810276679841898,0
2320,H,0.9829172141918529,0.9846938775510203,0.5033205173016427,0.5370879120879122,0.7430830039525692,0
5376,H,0.9947437582128779,0.9958545918367346,0.4669695910520797,0.7898351648351649,0.7391304347826086,0
3947,H,0.992772667542707,0.9926658163265306,0.6113247116392869,0.4010989010989011,0.019762845849802372,0
4251,H,0.9937582128777924,0.9913903061224488,0.47396015379238027,0.7623626373626374,0.39920948616600793,1
6852,H,0.9888304862023654,0.9923469387755101,0.5599440754980776,0.44917582417582425,0.07509881422924901,0
4924,H,0.9967148488830486,0.9958545918367346,0.5319818245368753,0.5782967032967034,0.2450592885375494,0
4314,H,0.9901445466491459,0.9888392857142857,0.5672841663753933,0.44368131868131866,0.1541501976284585,0
7463,H,0.9858738501971093,0.9929846938775508,0.5305837119888152,0.6442307692307693,0.3438735177865613,0
1180,H,0.9766754270696453,0.9834183673469387,0.5351275777700105,0.48901098901098905,0.06324110671936758,0
3429,H,0.990473061760841,0.9901147959183673,0.542118140510311,0.47115384615384615,0.6561264822134387,0
9398,H,0.9779894875164258,0.9827806122448979,0.5333799370849354,0.5508241758241759,0.6521739130434783,0
1957,H,0.978646517739816,0.9811862244897959,0.5655365256903181,0.49313186813186816,0.36363636363636365,0
7703,H,0.9878449408672799,0.9939413265306122,0.6515204473960153,0.3241758241758242,0.1857707509881423,0
5964,H,0.9871879106438897,0.9910714285714285,0.5700803914715135,0.41895604395604397,0.5217391304347826,0
8171,H,0.985545335085414,0.9929846938775508,0.5735756728416638,0.47390109890109894,0.6126482213438735,0
3461,H,0.9908015768725363,0.9897959183673468,0.46487242222998953,0.679945054945055,0.11857707509881422,0
5178,H,0.9986859395532195,0.9987244897959182,0.5302341838518001,0.592032967032967,0.3794466403162055,0
1805,H,0.9793035479632064,0.9811862244897959,0.4809507165326809,0.771978021978022,0.44664031620553357,0
7956,H,0.9885019710906702,0.994579081632653,0.52883607130374,0.521978021978022,0.15019762845849802,0
3148,H,0.9868593955321945,0.9878826530612245,0.506116742397763,0.5453296703296704,0.42292490118577075,0
1826,H,0.978318002628121,0.9799107142857143,0.529884655714785,0.5508241758241759,0.6561264822134387,0
3367,H,0.990473061760841,0.990752551020408,0.6256553652569031,0.3598901098901099,0.03162055335968379,0
682,H,0.978318002628121,0.9853316326530611,0.4928346731911919,0.6703296703296703,0.09090909090909091,0
268,H,0.978646517739816,0.9821428571428571,0.6291506466270534,0.34065934065934067,0.17391304347826086,0
2552,H,0.983245729303548,0.9856505102040817,0.5424676686473261,0.5590659340659341,0.4743083003952569,0
5040,H,0.9990144546649148,0.9987244897959182,0.5543516253058371,0.4752747252747253,0.549407114624506,0
6448,H,0.9878449408672799,0.989158163265306,0.6560643131772108,0.34065934065934067,0.25296442687747034,0
8161,H,0.9842312746386336,0.9917091836734693,0.5990912268437609,0.41483516483516486,0.5059288537549407,0
2641,H,0.9848883048620237,0.9869260204081632,0.4963299545613422,0.6414835164835165,0.5375494071146245,0
1368,H,0.9816031537450723,0.9894770408163265,0.5969940580216707,0.37225274725274726,0.308300395256917,0
8698,H,0.9766754270696453,0.9843749999999999,0.5026214610276127,0.6346153846153847,0.06324110671936758,0
4904,H,0.9973718791064391,0.996173469387755,0.517301642782244,0.6964285714285715,0.007905138339920948,0
4605,H,0.9950722733245729,0.9917091836734693,0.5134568332750786,0.668956043956044,0.5138339920948617,0
591,H,0.9773324572930355,0.9862882653061225,0.5330304089479203,0.5728021978021979,0.9288537549407114,0
1209,H,0.9756898817345598,0.9824617346938775,0.8878014680181755,0.1826923076923077,0.38735177865612647,0
2492,H,0.9822601839684626,0.9846938775510203,0.48304788535477106,0.8035714285714286,0.7865612648221344,0
8417,H,0.9816031537450723,0.9888392857142857,0.5955959454736106,0.4217032967032967,0.5928853754940712,0
5783,H,0.9914586070959265,0.9920280612244898,0.5393219154141908,0.5,0.4743083003952569,0
4619,H,0.9957293035479634,0.9926658163265306,0.7186298497029011,0.2706043956043956,0.6600790513833992,0
6742,H,0.9911300919842313,0.9923469387755101,0.5728766165676337,0.4120879120879121,0.6363636363636364,0
3034,H,0.987516425755585,0.987563775510204,0.5138063614120937,0.6016483516483516,0.07114624505928854,0
8570,H,0.978646517739816,0.9843749999999999,0.5400209716882209,0.49313186813186816,0.4743083003952569,0
2873,H,0.987516425755585,0.9866071428571427,0.5435162530583711,0.5206043956043956,0.09486166007905138,0
2878,H,0.9871879106438897,0.9866071428571427,0.5249912617965746,0.47115384615384615,0.15810276679841898,0
8326,H,0.9809461235216822,0.9869260204081632,0.5323313526738902,0.46978021978021983,0.47035573122529645,0
3143,H,0.987516425755585,0.9885204081632653,0.49598042642432716,0.5824175824175825,0.3557312252964427,0
460,H,0.9766754270696453,0.9840561224489796,0.5001747640685075,0.576923076923077,0.4308300395256917,0
7531,H,0.9858738501971093,0.9929846938775508,0.4813002446696959,0.778846153846154,0.1976284584980237,0
18,H,0.9816031537450723,0.9859693877551019,0.4564837469416288,0.7486263736263736,0.1976284584980237,0
5390,H,0.9947437582128779,0.9958545918367346,0.518350227193289,0.6483516483516484,0.8814229249011858,0
3383,H,0.9901445466491459,0.9904336734693877,0.5851101013631598,0.46153846153846156,0.19367588932806323,0
9273,H,0.9796320630749015,0.9843749999999999,0.5312827682628452,0.4903846153846154,0.15810276679841898,0
5909,H,0.9878449408672799,0.989158163265306,0.47675637888850053,0.896978021978022,0.8221343873517787,1
3284,H,0.9894875164257556,0.9882015306122448,0.4760573226144705,0.6964285714285715,0.09881422924901186,0
9971,H,0.9806176084099869,0.9827806122448979,0.5463124781544915,0.6126373626373627,0.6442687747035574,0
4792,H,0.9977003942181341,0.9971301020408162,0.5466620062915065,0.5521978021978022,0.5928853754940712,0
5752,H,0.9931011826544022,0.9942602040816326,0.6305487591751135,0.3434065934065934,0.16996047430830039,0
293,H,0.9793035479632064,0.9837372448979591,0.48654316672492137,0.6153846153846154,0.43873517786561267,0
277,H,0.9789750328515112,0.9821428571428571,0.5169521146452289,0.6964285714285715,0.2766798418972332,0
2069,H,0.9845597897503285,0.9872448979591837,0.5428171967843411,0.5631868131868132,0.7075098814229249,0
7696,H,0.987516425755585,0.9933035714285714,0.44809507165326806,0.826923076923077,0.09486166007905138,0
1676,H,0.978646517739816,0.9808673469387755,0.4956308982873121,0.5906593406593407,0.8181818181818182,0
5071,H,0.9993429697766097,0.9980867346938774,0.5040195735756728,0.5618131868131868,0.09090909090909091,0
20,H,0.9819316688567674,0.9862882653061225,0.48060118839566585,0.5865384615384616,0.22924901185770752,0
1777,H,0.9809461235216822,0.9827806122448979,0.5435162530583711,0.5054945054945055,0.1422924901185771,0
4327,H,0.9911300919842313,0.9888392857142857,0.5802167074449494,0.4024725274725275,0.2845849802371542,0
5749,H,0.992772667542707,0.9942602040816326,0.46487242222998953,0.8571428571428572,0.1225296442687747,0
9848,H,0.9806176084099869,0.9859693877551019,0.5480601188395666,0.5576923076923077,0.1541501976284585,0
951,H,0.971090670170828,0.9767219387755102,0.5274379587556798,0.49175824175824173,0.23715415019762845,0
5984,H,0.9878449408672799,0.9910714285714285,0.47046487242223,0.7142857142857143,0.7628458498023716,0
676,H,0.978646517739816,0.9859693877551019,0.5512058720727019,0.47664835164835173,0.019762845849802372,0
716,H,0.9770039421813403,0.9840561224489796,0.4963299545613422,0.6291208791208791,0.4743083003952569,0
5193,H,0.9986859395532195,0.998405612244898,0.49213561691716184,0.5467032967032966,0.5217391304347826,0
699,H,0.9773324572930355,0.9843749999999999,0.49493184201328205,0.5384615384615385,0.2924901185770751,0
2251,H,0.9825886990801579,0.9830994897959183,0.4977280671094023,0.5961538461538461,0.06324110671936758,0
9749,H,0.9816031537450723,0.9888392857142857,0.518350227193289,0.6236263736263736,0.758893280632411,0
3975,H,0.9934296977660972,0.9933035714285714,0.5382733310031458,0.6002747252747254,0.3201581027667984,0
6532,H,0.9894875164257556,0.9904336734693877,0.47256204124432016,0.7142857142857143,0.2727272727272727,0
8895,H,0.9770039421813403,0.9840561224489796,0.5106606081789584,0.5508241758241759,0.4980237154150198,0
9340,H,0.9802890932982917,0.9850127551020407,0.5512058720727019,0.5096153846153847,0.0,0
4347,H,0.9917871222076216,0.9878826530612245,0.6025865082139112,0.37774725274725274,0.4980237154150198,0
38,H,0.9819316688567674,0.9859693877551019,0.48199930094372595,0.6964285714285715,0.4189723320158103,0
3927,H,0.9944152431011827,0.9933035714285714,0.5438657811953862,0.4807692307692308,0.6482213438735178,0
4667,H,0.9963863337713535,0.9929846938775508,0.5770709542118141,0.4203296703296704,0.1976284584980237,0
849,H,0.973718791064389,0.9802295918367345,0.5543516253058371,0.4876373626373627,0.0,0
5549,H,0.9931011826544022,0.994579081632653,0.48025166025865085,0.7197802197802198,0.6086956521739131,0
3446,H,0.9908015768725363,0.9904336734693877,0.4893393918210416,0.679945054945055,0.83399209486166,0
9375,H,0.9779894875164258,0.9834183673469387,0.4501922404753583,0.679945054945055,0.35968379446640314,0
2403,H,0.9829172141918529,0.9843749999999999,0.506116742397763,0.7060439560439561,0.6837944664031621,0
7525,H,0.9858738501971093,0.9933035714285714,0.4833974134917861,0.6744505494505495,0.13043478260869565,0
3717,H,0.9931011826544022,0.9929846938775508,0.5043691017126879,0.6057692307692308,0.2015810276679842,0
7014,H,0.9871879106438897,0.9901147959183673,0.4903879762320867,0.6552197802197803,0.09486166007905138,0
